Trend of Change,Floor,Rooms,Property Type,Block and Parcel,Transaction Price,Transaction Date,Area (m²),Address,Serial Number
"","קומה ‎4‏","4","דירה בבית קומות","6430-244-32","1,585,000 ₪","08/12/2015","104.3","ללא כתובת","340"
"","תשיעית","5","דירה בבית קומות","6430-252-36","2,175,000 ₪","06/12/2015","125.98","אברהם פררה 7","342"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 70.2% ב 7.6 שנים","שלישית","5","דירה בבית קומות","6430-276-69","2,380,000 ₪","01/12/2015","116.69","יאיר רוזנבלום 22","343"
"","קומה ‎3‏, קומה ‎4‏","6","דירה בבית קומות","6430-269-7","2,700,001 ₪","25/11/2015","169.9","אהוד מנור 8","344"
"","שישית","6","דירה בבית קומות","6429-289-21","3,100,000 ₪","19/11/2015","190","משה וילנסקי 15","345"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58.9% ב 6.5 שנים","שניה","4","דירה בבית קומות","6429-309-17","2,150,000 ₪","17/11/2015","102.82","שמחה הולצברג 3","346"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.2% ב 6.3 שנים","ראשונה","5","דירה בבית קומות","6429-309-3","2,340,000 ₪","16/11/2015","129.18","שמחה הולצברג 1","347"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.6% ב 4.8 שנים","רביעית+חמישית","5","דירה בבית קומות","6430-259-25","3,250,000 ₪","12/11/2015","187","משה סנה 31","348"
"","שלוש עשרה, ארבע עשרה","5","דירה בבית קומות","6429-284-51","3,281,000 ₪","09/11/2015","156.9","משה וילנסקי 8","349"
"","שלוש עשרה, ארבע עשרה","6","דירה בבית קומות","6429-284-49","3,300,000 ₪","25/10/2015","172","משה וילנסקי 8","350"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.7% ב 6.2 שנים","שלישית","4","דירה בבית קומות","6429-293-11","1,975,000 ₪","31/08/2015","91","משה וילנסקי 9","352"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 63.8% ב 5.6 שנים","קרקע","5","דירה בבית קומות","6429-297-2","2,900,000 ₪","20/08/2015","125","דוד זהבי 10","353"
"","קומה ‎6‏, קומה ‎7‏","6","דירה בבית קומות","6430-230-36","3,050,000 ₪","18/08/2015","200.5","יוסי בנאי 9","354"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 24.1% ב 5.4 שנים","ראשונה","4","דירה בבית קומות","6429-292-22","1,918,000 ₪","17/08/2015","93.68","ג'ו עמר 6","355"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 9.7% ב 1.8 שנים","קרקע תחתונה+ראשונה","4","דירה בבית קומות","6430-246-2","1,810,000 ₪","06/08/2015","103.22","יאיר רוזנבלום 8","356"
"","שלישית","5","דירה בבית קומות","6429-294-10","2,415,000 ₪","19/07/2015","141.7","דוד זהבי 2","357"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 50% ב 5.3 שנים","שישית+ שביעית","6","קוטג' דו משפחתי","6430-276-76","3,300,000 ₪","19/07/2015","169.48","יאיר רוזנבלום 22","358"
"","שניה","4","דירה בבית קומות","6429-344-6","2,000,000 ₪","14/07/2015","108.7","קרן המוסיקה 5","359"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 19% ב 4.2 שנים","רביעית","5","דירה בבית קומות","6429-286-18","2,250,000 ₪","01/07/2015","141","דוד זהבי 18","360"
"","קומה ‎7‏, קומה ‎8‏","6","דירה בבית קומות","6430-230-20","3,150,000 ₪","29/06/2015","200.5","יוסי בנאי 9","362"
"","קומה ‎2‏","4","דירה בבית קומות","6430-225-31","1,900,000 ₪","18/06/2015","104","עפרה חזה 10","363"
"","שניה","4","דירה בבית קומות","6429-294-7","1,896,000 ₪","18/06/2015","110.4","דוד זהבי 2","364"
"","ראשונה","4","דירה בבית קומות","6429-294-4","1,879,000 ₪","09/06/2015","110.4","דוד זהבי 2","365"
"","קומה ‎5‏","5","דירה בבית קומות","6430-230-34","2,396,000 ₪","09/06/2015","122.9","יוסי בנאי 9","366"
"","אחת עשרה","5","דירה בבית קומות","6429-284-43","2,710,000 ₪","08/06/2015","119.7","משה וילנסקי 8","367"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 39.4% ב 5.6 שנים","ראשונה","5","דירה בבית קומות","6430-255-5","2,230,000 ₪","27/05/2015","131.83","אהוד מנור 11","368"
"","שלישית","5","דירה בבית קומות","6429-347-11","2,150,000 ₪","25/05/2015","129","עוזי חיטמן 9","369"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 25% ב 4.8 שנים","קרקע","6","דירה בבית קומות","6429-287-1","2,670,000 ₪","22/05/2015","132.5","וילנסקי משה 17","370"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 16.3% ב 2.6 שנים","שלישית","6","דירה בבית קומות","6430-223-47","2,260,000 ₪","20/05/2015","149.4","יאיר רוזנבלום 17","372"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 56.1% ב 7 שנים","קרקע","6","דירה בבית קומות","6430-276-39","2,650,000 ₪","20/05/2015","130.67","יאיר רוזנבלום 20","373"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 54.6% ב 7 שנים","ראשונה","4","דירה בבית קומות","6430-276-42","1,830,000 ₪","14/05/2015","90.75","יאיר רוזנבלום 20","374"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 7.9% ב 1.1 שנים","רביעית","4","דירה בבית קומות","6429-344-16","1,990,000 ₪","07/05/2015","108.7","קרן המוסיקה 5","375"
"","ראשונה","4","דירה בבית קומות","6429-344-2","1,900,000 ₪","05/05/2015","108.7","קרן המוסיקה 5","376"
"","שניה","4","דירה בבית קומות","6429-344-8","1,950,000 ₪","05/05/2015","108.7","קרן המוסיקה 5","377"
"","חמישית","4","דירה בבית קומות","6429-344-20","2,000,000 ₪","26/04/2015","108.7","קרן המוסיקה 5","378"
"","שניה","5","דירה בבית קומות","6430-224-6","2,155,000 ₪","21/04/2015","138.54","ללא כתובת","379"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 59.2% ב 5.5 שנים","קרקע עליונה","4","דירת גן","6430-251-24","2,500,000 ₪","16/04/2015","90.64","אהוד מנור 17","380"
"","קומה ‎2‏","5","דירה בבית קומות","6430-230-4","2,190,000 ₪","02/04/2015","142.2","מאיר אריאל 9","382"
"","קומה ‎2‏","6","דירה בבית קומות","6430-261-6","2,250,000 ₪","30/03/2015","140","אהוד מנור 6","383"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 12.4% ב 4.8 שנים","שישית ושביעית","6","דירה בבית קומות","6429-311-17","2,900,000 ₪","26/03/2015","186.29","דמארי שושנה 2","384"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 16% ב 1.7 שנים","ראשונה","4","דירה בבית קומות","6430-266-7","1,890,000 ₪","25/03/2015","97.5","יאיר רוזנבלום 34","385"
"","קרקע","6","דירה בבית קומות","6429-294-17","2,625,000 ₪","19/03/2015","133.4","דוד זהבי 4","386"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 32.2% ב 5.4 שנים","שניה","4","דירה בבית קומות","6429-292-4","1,950,000 ₪","11/03/2015","92.22","ג'ו עמר 6","387"
"","קומה ‎2‏","6","דירה בבית קומות","6430-225-29","2,180,000 ₪","09/03/2015","144.8","עפרה חזה 10","388"
"","שישית, שביעית","4","דירה בבית קומות","6429-283-19","3,115,000 ₪","05/03/2015","100","ג'ו עמר 10","389"
"","קומה ‎6‏","5","דירה בבית קומות","6430-230-16","2,260,000 ₪","04/03/2015","124.7","מאיר אריאל 9","390"
"","שמינית","5","דירה בבית קומות","6429-344-30","2,250,000 ₪","03/03/2015","136.05","קרן המוסיקה 5","392"
"","שניה","6","דירה בבית קומות","6429-303-5","2,265,000 ₪","01/03/2015","143.8","דוד זהבי 3","393"
"","שניה","5","דירה בבית קומות","6430-257-12","2,105,000 ₪","25/02/2015","136.05","אהוד מנור 1","394"
"","שלישית","5","דירה בבית קומות","6430-257-14","2,115,000 ₪","25/02/2015","129.7","אהוד מנור 1","395"
"","קומה ‎6‏, קומה ‎7‏","7","דירה בבית קומות","6430-225-21","2,845,000 ₪","22/02/2015","209.7","עפרה חזה 6","396"
"","ראשונה","6","דירה בבית קומות","6430-267-3","2,145,000 ₪","17/02/2015","148.5","משה סנה 33","397"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 27.8% ב 5.6 שנים","שניה","5","דירה בבית קומות","6429-309-6","2,070,000 ₪","16/02/2015","129.18","שמחה הולצברג 1","398"
"","ראשונה","4","דירה בבית קומות","6430-255-4","1,835,000 ₪","08/02/2015","105.25","אהוד מנור 11","399"
"","תשיעית","5","דירה בבית קומות","6429-344-35","2,269,000 ₪","03/02/2015","128.6","קרן המוסיקה 5","400"
"","קומה ‎1‏","5","דירה בבית קומות","6430-230-23","2,374,000 ₪","29/01/2015","124.7","יוסי בנאי 9","402"
"","קומה ‎5‏, קומה ‎6‏","7","דירה בבית קומות","6430-225-43","2,656,000 ₪","19/01/2015","176.35","עפרה חזה 10","403"
"","קומה ‎4‏","6","דירה בבית קומות","6430-225-38","2,198,000 ₪","14/01/2015","144.8","עפרה חזה 10","404"
"","קומה ‎2‏","4","דירה בבית קומות","6430-225-8","1,852,000 ₪","13/01/2015","104.3","עפרה חזה 6","405"
"","ראשונה","6","דירה בבית קומות","6429-303-3","2,500,000 ₪","13/01/2015","134.1","דוד זהבי 3","406"
"","קומה ‎4‏, קומה ‎5‏","7","דירה בבית קומות","6430-225-15","2,757,000 ₪","08/01/2015","210","עפרה חזה 6","407"
"","שניה","6","דירה בבית קומות","6429-303-22","2,180,000 ₪","07/01/2015","144.3","דוד זהבי 3","408"
"","רביעית, חמישית","7","דירה בבית קומות","6430-257-8","3,256,000 ₪","07/01/2015","219.04","אהוד מנור 1","409"
"","קומה ‎3‏","6","דירה בבית קומות","6430-225-33","2,150,000 ₪","05/01/2015","144.8","עפרה חזה 10","410"
"","עשירית","5","דירה בבית קומות","6429-344-37","2,500,000 ₪","18/12/2014","145.95","קרן המוסיקה 5","412"
"","שניה","4","דירה בבית קומות","6430-257-4","1,740,000 ₪","16/12/2014","107.87","אהוד מנור 1","413"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 12.2% ב 3.4 שנים","שישית","4","דירה בבית קומות","6430-229-21","1,890,000 ₪","14/12/2014","100","אהוד מנור 16","414"
"","קומה ‎5‏","4","דירה בבית קומות","6430-225-19","1,780,000 ₪","11/12/2014","104.3","עפרה חזה 6","415"
"","שלישית","5","דירה בבית קומות","6430-224-9","2,070,000 ₪","09/12/2014","134.2","ללא כתובת","416"
"","קומה ‎3‏","6","דירה בבית קומות","6430-225-11","2,130,000 ₪","09/12/2014","145.2","עפרה חזה 6","417"
"","שניה","6","דירה בבית קומות","6429-303-23","2,200,000 ₪","09/12/2014","146.5","דוד זהבי 3","418"
"","קומה ‎4‏","4","דירה בבית קומות","6430-225-39","1,770,000 ₪","07/12/2014","104","עפרה חזה 10","419"
"","שמינית, תשיעית","7","דירה בבית קומות","6429-276-62","2,590,000 ₪","04/12/2014","200.7","נעמי שמר 2","420"
"","שישית","5","דירה בבית קומות","6430-228-16","2,212,000 ₪","27/11/2014","123.95","יאיר רוזנבלום 16","422"
"","קומה ‎3‏","4","דירה בבית קומות","6430-225-12","1,760,000 ₪","25/11/2014","104.3","עפרה חזה 6","423"
"","שלישית","4","דירה בבית קומות","6429-286-12","1,420,000 ₪","23/11/2014","107","דוד זהבי 18","424"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 36.9% ב 5.6 שנים","ראשונה","6","דירה בבית קומות","6430-276-24","2,135,000 ₪","13/11/2014","130.67","מאיר אריאל 13","425"
"","קומה ‎4‏","5","דירה בבית קומות","6430-230-32","2,131,000 ₪","12/11/2014","142.35","יוסי בנאי 9","426"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 42.3% ב 6.1 שנים","חמישית","4","דירה בבית קומות","6430-251-16","1,850,000 ₪","12/11/2014","106.07","אהוד מנור 15","427"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 16.6% ב 4.4 שנים","רביעית וחמישית","7","דירה בבית קומות","6429-307-24","3,200,000 ₪","09/11/2014","202.85","דוד זהבי 17","428"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 22.4% ב 0.3 שנים","קומה ‎1‏","6","דירת גן","6430-225-2","2,406,000 ₪","04/11/2014","131.3","עפרה חזה 6","429"
"","חמישית","6","דירה בבית קומות","6430-260-22","3,390,000 ₪","03/11/2014","167.2","אהוד מנור 4","430"
"","קומה ‎1‏","6","דירה בבית קומות","6430-225-25","2,370,000 ₪","29/10/2014","131.3","עפרה חזה 10","432"
"","קומה ‎2‏","6","דירה בבית קומות","6430-230-6","2,304,000 ₪","28/10/2014","160.8","יוסי בנאי 9","433"
"","קומה ‎5‏","6","דירה בבית קומות","6430-254-13","2,185,000 ₪","26/10/2014","129","אהוד מנור 13","434"
"","ראשונה","4","דירה בבית קומות","6429-284-2","1,770,000 ₪","07/10/2014","88.9","משה וילנסקי 8","435"
"","קרקע, ראשונה","5","דירה בבית קומות","6430-257-2","2,450,000 ₪","01/10/2014","142.63","אהוד מנור 1","436"
"","שלישית","4","דירה בבית קומות","6429-344-9","1,840,000 ₪","30/09/2014","105.6","קרן המוסיקה 5","437"
"","קומה ‎3‏","6","דירה בבית קומות","6430-254-6","2,190,000 ₪","29/09/2014","130.15","אהוד מנור 13","438"
"","קומה ‎5‏","6","דירה בבית קומות","6430-261-14","2,170,000 ₪","17/09/2014","140","אהוד מנור 6","439"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 0.2% ב 3 שנים","ראשונה","5","דירה בבית קומות","6430-276-5","2,079,000 ₪","17/09/2014","116.09","מאיר אריאל 13","440"
"","ראשונה","5","דירה בבית קומות","6429-346-8","2,085,000 ₪","07/09/2014","999","ללא כתובת","442"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 22.5% ב 4.3 שנים","קרקע","5","דירה בבית קומות","6429-299-13","2,450,000 ₪","07/09/2014","142","ג'ו עמר 2","443"
"","אחת עשרה","5","דירה בבית קומות","6429-344-43","2,480,000 ₪","28/08/2014","145.95","קרן המוסיקה 5","444"
"","שלישית","5","דירה בבית קומות","6430-228-27","2,040,000 ₪","28/08/2014","141.6","יאיר רוזנבלום 18","445"
"","שלישית","6","דירה בבית קומות","6429-303-25","2,170,000 ₪","24/08/2014","144.3","דוד זהבי 3","446"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 21.4% ב 4.4 שנים","שניה","4","דירה בבית קומות","6430-245-28","1,845,000 ₪","24/08/2014","103","אהוד מנור 23","447"
"","קומה ‎4‏","6","דירה בבית קומות","6430-261-12","2,175,000 ₪","21/08/2014","140","אהוד מנור 6","448"
"","ראשונה","4","דירה בבית קומות","6429-300-6","1,520,000 ₪","17/08/2014","104","דוד זהבי 14","449"
"","חמישית","4","דירה בבית קומות","6429-284-19","1,865,000 ₪","17/08/2014","90.6","משה וילנסקי 8","450"
"","רביעית, חמישית","6","דירה בבית קומות","6430-267-25","2,940,000 ₪","12/08/2014","195.5","משה סנה 33","452"
"","קומה ‎1‏","4","דירה בבית קומות","6430-225-27","1,940,000 ₪","31/07/2014","90.5","עפרה חזה 10","453"
"","חמישית","5","דירה בבית קומות","6430-224-16","1,730,000 ₪","23/07/2014","102.45","ללא כתובת","454"
"","קומה ‎1‏","5","דירה בבית קומות","6430-243-17","2,340,000 ₪","20/07/2014","117.6","אהוד מנור 12","455"
"","קומה ‎7‏, קומה ‎8‏","7","דירה בבית קומות","6430-225-46","2,760,000 ₪","17/07/2014","210.05","עפרה חזה 10","456"
"","שלישית","4","דירה בבית קומות","6430-257-6","1,690,000 ₪","16/07/2014","102","אהוד מנור 1","457"
"","שלישית","6","דירה בבית קומות","6430-266-13","3,310,000 ₪","15/07/2014","167.7","יאיר רוזנבלום 34","458"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 27.8% ב 1.9 שנים","שישית, שביעית","6","דירה בבית קומות","6429-283-38","3,450,000 ₪","10/07/2014","199.5","ג'ו עמר 10","459"
"","חמישית","5","דירה בבית קומות","6430-224-14","2,085,000 ₪","02/07/2014","141.34","ללא כתובת","460"
"","שביעית","5","דירה בבית קומות","6429-344-26","2,099,000 ₪","20/06/2014","136.05","קרן המוסיקה 5","462"
"tooltip 16 copy
							
								
									
										
											 
											 
										
									
								
							
						
						 -1.4% ב 4.5 שנים","חמישית","5","דירה בבית קומות","6429-292-15","1,700,000 ₪","19/06/2014","116.66","ג'ו עמר 6","463"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 4.5% ב 1 שנים","שלישית","4","דירה בבית קומות","6429-275-8","1,760,000 ₪","17/06/2014","103.45","יאיר רוזנבלום 3","464"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 17.8% ב 4 שנים","שלישית","5","דירה בבית קומות","6429-305-17","2,138,000 ₪","29/05/2014","124.9","דוד זהבי 7","465"
"","שישית, שביעית","7","דירה בבית קומות","6429-303-35","2,850,000 ₪","28/05/2014","197.2","דוד זהבי 3","466"
"","לא ידוע","6","דירה בבית קומות","6429-306-4","2,360,000 ₪","21/05/2014","200","משה וילנסקי 3","467"
"","ראשונה","6","דירה בבית קומות","6430-228-3","2,435,000 ₪","08/05/2014","141.15","יאיר רוזנבלום 16","468"
"","ראשונה","6","דירה בבית קומות","6429-306-5","2,100,000 ₪","30/04/2014","150","משה וילנסקי 3","469"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 50.3% ב 6.1 שנים","ראשונה","4","דירה בבית קומות","6430-276-23","1,780,000 ₪","30/04/2014","91.26","מאיר אריאל 13","470"
"","ראשונה","6","דירה בבית קומות","6430-260-6","2,115,000 ₪","22/04/2014","145.9","אהוד מנור 4","472"
"","אחת עשרה","6","דירה","6430-253-41","2,200,000 ₪","17/04/2014","127","קרן המוסיקה 2","473"
"","קומה ‎6‏, קומה ‎7‏","6","דירה בבית קומות","6430-269-15","2,840,000 ₪","13/04/2014","187.6","אהוד מנור 8","474"
"","קומה ‎2‏","4","דירה בבית קומות","6430-261-4","1,720,000 ₪","09/04/2014","112","אהוד מנור 6","475"
"","קומה ‎1‏","5","דירה בבית קומות","6429-301-6","1,950,000 ₪","03/04/2014","110.6","דוד זהבי 16","476"
"","ראשונה","4","דירה בבית קומות","6430-253-2","1,720,000 ₪","31/03/2014","89","קרן המוסיקה 2","477"
"","שישית","6","דירה בבית קומות","6430-253-21","2,150,000 ₪","27/03/2014","127","קרן המוסיקה 2","478"
"","קומה ‎4‏","5","דירה בבית קומות","6430-230-10","2,040,000 ₪","26/03/2014","142.2","יוסי בנאי 9","479"
"","רביעית","5","דירה בבית קומות","6430-224-12","2,020,000 ₪","23/03/2014","141.2","ללא כתובת","480"
"","ראשונה","4","דירה בבית קומות","6430-264-18","1,830,000 ₪","21/03/2014","107.4","יאיר רוזנבלום 32","482"
"","קומה ‎4‏","4","דירה בבית קומות","6430-230-31","1,821,000 ₪","18/03/2014","119.3","יוסי בנאי 9","483"
"","שישית, שביעית","7","דירה בבית קומות","6429-274-18","2,579,000 ₪","17/03/2014","204.4","עלי מוהר 4","484"
"","תשיעית","6","דירה בבית קומות","6430-253-33","2,180,000 ₪","14/03/2014","127","קרן המוסיקה 2","485"
"","רביעית","4","דירה","6430-253-14","1,755,000 ₪","12/03/2014","89","קרן המוסיקה 2","486"
"","שישית, שביעית","7","דירה בבית קומות","6429-303-16","2,735,000 ₪","10/03/2014","177.3","דוד זהבי 3","487"
"","שישית, שביעית","6","דירה בבית קומות","6429-282-37","3,083,000 ₪","25/02/2014","199.7","ג'ו עמר 11","488"
"","חמישית, שישית","6","דירה בבית קומות","6429-285-33","2,500,000 ₪","24/02/2014","147.14","שושנה דמארי 3","489"
"","שמינית, תשיעית","7","דירה בבית קומות","6429-276-61","2,628,000 ₪","20/02/2014","202.5","עלי מוהר 2","490"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 34.3% ב 4.7 שנים","שלישית","4","דירה בבית קומות","6429-305-5","1,840,000 ₪","10/02/2014","108.86","דוד זהבי 5","492"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 11.7% ב 3.2 שנים","תשיעית","5","דירה בבית קומות","6430-252-34","2,210,000 ₪","07/02/2014","125.98","אברהם פררה 7","493"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 27.6% ב 1.9 שנים","חמישית","5","דירה בבית קומות","6430-223-53","2,360,000 ₪","04/02/2014","149.2","יאיר רוזנבלום 17","494"
"","שמינית","5","דירה בבית קומות","6429-344-32","2,160,000 ₪","29/01/2014","136.05","קרן המוסיקה 5","495"
"","קומה ‎3‏","6","דירה בבית קומות","6430-261-28","2,170,000 ₪","28/01/2014","140","אהוד מנור 6","496"
"","רביעית","4","דירה בבית קומות","6430-249-22","1,400,000 ₪","27/01/2014","97.8","אברהם פררה 1","497"
"","ראשונה","5","דירה בבית קומות","6429-276-33","2,150,000 ₪","16/01/2014","137.2","עלי מוהר 2","498"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.8% ב 4.6 שנים","שלישית","5","דירה בבית קומות","6430-255-11","2,150,000 ₪","15/01/2014","131.83","אהוד מנור 11","499"
"","קומה ‎2‏","5","דירה בבית קומות","6429-301-10","1,950,000 ₪","07/01/2014","110.6","דוד זהבי 16","500"
"","קומה ‎6‏, קומה ‎7‏","7","דירה בבית קומות","6430-261-18","2,798,000 ₪","31/12/2013","196","אהוד מנור 6","502"
"","רביעית","6","דירה בבית קומות","6429-303-12","2,230,000 ₪","30/12/2013","145.3","דוד זהבי 3","503"
"","שלישית","4","דירה בבית קומות","6430-253-10","1,730,000 ₪","30/12/2013","89","קרן המוסיקה 2","504"
"","שישית, שביעית","6","דירה בבית קומות","6430-260-24","2,824,000 ₪","29/12/2013","192.1","אהוד מנור 4","505"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 16.8% ב 3.2 שנים","ראשונה","4","דירה בבית קומות","6429-290-23","1,880,000 ₪","26/12/2013","91.63","ג'ו עמר 5","506"
"","קומה ‎5‏","4","דירה בבית קומות","6430-254-14","1,749,000 ₪","26/12/2013","89.5","אהוד מנור 13","507"
"","ראשונה","4","דירה בבית קומות","6430-224-4","1,630,000 ₪","25/12/2013","104.8","ללא כתובת","508"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 26% ב 4.8 שנים","שניה","4","דירה בבית קומות","6429-305-3","1,730,000 ₪","25/12/2013","108.86","דוד זהבי 5","509"
"","קומה ‎3‏","4","דירה בבית קומות","6430-254-8","1,725,000 ₪","25/12/2013","89.5","אהוד מנור 13","510"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 12.9% ב 3.2 שנים","שניה","4","דירה בבית קומות","6429-287-7","1,727,000 ₪","17/12/2013","102.4","וילנסקי משה 17","512"
"","שלישית","5","דירה בבית קומות","6430-228-7","1,970,000 ₪","12/12/2013","141.6","יאיר רוזנבלום 16","513"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 10% ב 2.7 שנים","שביעית","5","דירה בבית קומות","6430-252-27","2,140,000 ₪","06/12/2013","125.1","אברהם פררה 7","514"
"","שניה","6","דירה בבית קומות","6430-260-10","2,125,000 ₪","28/11/2013","145.9","אהוד מנור 4","515"
"","קומה ‎3‏","4","דירה בבית קומות","6430-230-8","1,745,000 ₪","26/11/2013","120.3","מאיר אריאל 9","516"
"","קרקע, ראשונה","5","דירה בבית קומות","6430-224-2","2,676,000 ₪","26/11/2013","161.5","ללא כתובת","517"
"","ראשונה","5","דירה בבית קומות","6429-276-32","2,140,000 ₪","21/11/2013","137.4","עלי מוהר 2","518"
"","קומה ‎1‏","6","דירה בבית קומות","6430-254-2","2,462,000 ₪","19/11/2013","129","אהוד מנור 13","519"
"","קומה ‎3‏","4","דירה בבית קומות","6429-301-14","1,714,000 ₪","11/11/2013","91.2","דוד זהבי 16","520"
"","שישית","6","דירה בבית קומות","6430-228-18","2,425,000 ₪","04/11/2013","143.95","יאיר רוזנבלום 16","522"
"","שביעית, שמינית","7","דירה בבית קומות","6429-274-37","2,681,000 ₪","03/11/2013","213.8","עלי מוהר 6","523"
"","שניה","6","דירה בבית קומות","6430-223-4","2,010,000 ₪","29/10/2013","145.6","יאיר רוזנבלום 17","524"
"","שמינית, תשיעית","7","דירה בבית קומות","6429-276-60","2,615,000 ₪","28/10/2013","204.4","נעמי שמר 2","525"
"","קומה ‎5‏","4","דירה בבית קומות","6430-230-14","1,801,000 ₪","28/10/2013","119.3","יוסי בנאי 9","526"
"","קומה ‎3‏","4","דירה בבית קומות","6430-261-26","1,730,000 ₪","27/10/2013","109","אהוד מנור 6","527"
"","חמישית","6","דירה בבית קומות","6430-228-15","2,248,000 ₪","24/10/2013","159.95","יאיר רוזנבלום 16","528"
"","קרקע","5","דירה בבית קומות","6429-283-2","2,274,000 ₪","23/10/2013","116.7","ג'ו עמר 10","529"
"","רביעית","6","דירה בבית קומות","6430-228-12","2,212,000 ₪","22/10/2013","159.95","יאיר רוזנבלום 16","530"
"","קומה ‎4‏","6","דירה בבית קומות","6429-301-16","2,709,000 ₪","21/10/2013","132.95","דוד זהבי 16","532"
"","קומה ‎3‏","6","דירה בבית קומות","6429-301-12","2,800,000 ₪","21/10/2013","141.85","דוד זהבי 16","533"
"","שביעית, שמינית","6","דירה בבית קומות","6430-268-25","2,958,000 ₪","17/10/2013","175","אהוד מנור 10","534"
"","שלישית","4","דירה בבית קומות","6429-303-27","1,720,000 ₪","10/10/2013","103.7","דוד זהבי 3","535"
"","ראשונה","6","דירה בבית קומות","6430-253-4","2,080,000 ₪","10/10/2013","127","קרן המוסיקה 2","536"
"","קומה ‎6‏, קומה ‎7‏","7","דירה בבית קומות","6430-261-36","2,790,000 ₪","08/10/2013","196","אהוד מנור 6","537"
"","קומה ‎4‏","6","דירה בבית קומות","6430-230-12","2,212,000 ₪","01/10/2013","160.8","יוסי בנאי 9","538"
"","חמישית","4","דירה בבית קומות","6429-303-33","1,735,000 ₪","29/09/2013","103.3","דוד זהבי 3","539"
"","קומה ‎6‏, קומה ‎7‏","6","דירה בבית קומות","6430-254-16","2,550,000 ₪","17/09/2013","177","אהוד מנור 13","540"
"","קומה ‎2‏","4","דירה בבית קומות","6429-301-8","1,720,000 ₪","15/09/2013","91.25","דוד זהבי 16","542"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 19.2% ב 2.7 שנים","שלישית","6","דירה בבית קומות","6429-292-26","2,300,000 ₪","15/09/2013","127.96","ג'ו עמר 6","543"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 10.8% ב 2.5 שנים","שלישית","5","דירה בבית קומות","6429-290-30","2,150,000 ₪","11/09/2013","146.25","ג'ו עמר 5","544"
"","קומה ‎1‏","4","דירה בבית קומות","6430-261-20","1,920,000 ₪","10/09/2013","87","אהוד מנור 6","545"
"","שלישית","6","דירה בבית קומות","6430-266-14","3,200,000 ₪","08/09/2013","167.7","יאיר רוזנבלום 34","546"
"","קומה ‎7‏, קומה ‎8‏","6","דירה בבית קומות","6430-261-38","2,640,000 ₪","03/09/2013","170","אהוד מנור 6","547"
"","קרקע","4","דירה בבית קומות","6430-266-3","1,865,000 ₪","02/09/2013","88.4","יאיר רוזנבלום 34","548"
"","קומה ‎4‏","6","דירה בבית קומות","6430-261-30","2,150,000 ₪","02/09/2013","140","אהוד מנור 6","549"
"","שניה","5","דירה בבית קומות","6430-253-5","1,920,000 ₪","02/09/2013","113","קרן המוסיקה 2","550"
"","שלישית","6","דירה בבית קומות","6430-228-9","2,131,000 ₪","29/08/2013","159.95","יאיר רוזנבלום 16","552"
